S.No,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price
558,Audi TT 2.0 TFSI,Delhi,2013,12100,Petrol,Automatic,First,9.9 kmpl,1984 CC,207.8 bhp,2,,29.5
1289,Audi TT 2.0 TFSI,Kochi,2014,14262,Petrol,Automatic,First,9.9 kmpl,1984 CC,207.8 bhp,2,,27.35
3581,Mercedes-Benz CLS-Class 2006-2010 350 CDI,Hyderabad,2010,29000,Diesel,Automatic,First,9.9 kmpl,3498 CC,271.72 bhp,4,,32
4002,Honda Accord 2.4 Inspire M/T,Mumbai,2012,42000,Petrol,Manual,First,9.8 kmpl,2354 CC,180 bhp,5,,6.25
4200,Honda Accord 2.4 Inspire M/T,Pune,2009,60000,Petrol,Manual,Second,9.8 kmpl,2354 CC,180 bhp,5,,3.5
4520,Maruti Grand Vitara MT,Mumbai,2008,46810,Petrol,Manual,First,9.8 kmpl,1995 CC,163.5 bhp,5,,3.95
5609,Honda Accord 2.4 Inspire M/T,Pune,2009,79000,Petrol,Manual,Third,9.8 kmpl,2354 CC,180 bhp,5,,3.1
5040,Audi Q5 2008-2012 2.0 TFSI Quattro,Ahmedabad,2009,99100,Petrol,Automatic,Second,9.74 kmpl,1984 CC,208 bhp,5,,10
5614,Audi Q5 2008-2012 2.0 TFSI Quattro,Kochi,2011,59967,Petrol,Automatic,First,9.74 kmpl,1984 CC,208 bhp,5,,18
886,Maruti Grand Vitara AT,Chennai,2008,77000,Petrol,Automatic,Fourth & Above,9.7 kmpl,1995 CC,163.5 bhp,5,,5.5
327,BMW 6 Series 640d Gran Coupe,Mumbai,2011,30000,Diesel,Automatic,First,9.52 kmpl,2993 CC,313 bhp,4,,49
2090,BMW 6 Series 640d Coupe,Mumbai,2013,30000,Diesel,Automatic,First,9.52 kmpl,2993 CC,313 bhp,4,,45
2561,Mitsubishi Pajero 2.8 GLX Sports,Hyderabad,2008,85000,Diesel,Manual,First,9.5 kmpl,2835 CC,118.6 bhp,6,,7.99
3221,Mercedes-Benz E-Class 280 Elegance,Jaipur,2008,62000,Petrol,Automatic,First,9.5 kmpl,2997 CC,231.1 bhp,5,,7
3508,Mitsubishi Pajero 4X4 LHD,Bangalore,2012,155566,Diesel,Manual,Second,9.5 kmpl,2835 CC,118.6 bhp,6,,9.15
656,Jaguar XJ 2.0L Portfolio,Mumbai,2017,10501,Petrol,Automatic,First,9.43 kmpl,1999 CC,237.4 bhp,5,,75
1763,BMW 3 Series 330i,Coimbatore,2011,75871,Petrol,Automatic,First,9.43 kmpl,2996 CC,254 bhp,5,,14.12
4410,Skoda Superb 2.8 V6 AT,Kolkata,2005,13002,Petrol,Automatic,First,9.3 kmpl,2771 CC,193.1 bhp,5,,3.25
4960,Skoda Superb 2.8 V6 AT,Kolkata,2005,13000,Petrol,Automatic,First,9.3 kmpl,2771 CC,193.1 bhp,5,,3.25
3534,Nissan Teana 230jM,Mumbai,2008,86340,Petrol,Automatic,Second,9.1 kmpl,2349 CC,null bhp,5,,3.25
927,Porsche Cayman 2009-2012 S,Hyderabad,2010,10000,Petrol,Manual,First,9.0 kmpl,3436 CC,null bhp,2,,40
2194,Volvo S60 D4 SUMMUM,Coimbatore,2016,42259,Diesel,Automatic,First,9.0 kmpl,1984 CC,181 bhp,5,,24.36
2306,Porsche Cayman 2009-2012 S tiptronic,Mumbai,2011,8000,Petrol,Automatic,First,9.0 kmpl,3436 CC,null bhp,2,,43
2974,Volvo S60 D4 KINETIC,Delhi,2014,48000,Diesel,Automatic,Second,9.0 kmpl,1984 CC,181 bhp,5,,16
3236,Volvo S60 D4 KINETIC,Ahmedabad,2015,34000,Diesel,Automatic,First,9.0 kmpl,1984 CC,181 bhp,5,,20
4273,Honda Accord V6 AT,Chennai,2006,120000,Petrol,Automatic,Second,9.0 kmpl,2997 CC,218 bhp,5,,2.65
3342,BMW 7 Series 2007-2012 750Li,Kochi,2010,50161,Petrol,Automatic,First,8.77 kmpl,4395 CC,402 bhp,5,,25.93
3329,Mercedes-Benz M-Class ML 320 CDI,Mumbai,2009,66000,Diesel,Automatic,Second,8.7 kmpl,2987 CC,224.34 bhp,5,,10.75
3725,Mercedes-Benz M-Class ML 320 CDI,Pune,2009,53000,Diesel,Automatic,First,8.7 kmpl,2987 CC,224.34 bhp,5,,13.75
6007,Mercedes-Benz M-Class ML 320 CDI,Mumbai,2009,102002,Diesel,Automatic,First,8.7 kmpl,2987 CC,224.34 bhp,5,,10.75
1079,Porsche Boxster S tiptronic,Kolkata,2015,10512,Petrol,Automatic,First,8.6 kmpl,2706 CC,265 bhp,2,,64
5522,Bentley Continental Flying Spur,Hyderabad,2006,48000,Petrol,Automatic,First,8.6 kmpl,5998 CC,552 bhp,4,,59
71,Porsche Cayenne 2009-2014 Turbo,Mumbai,2008,73000,Petrol,Automatic,First,8.5 kmpl,4806 CC,500 bhp,5,,14.5
1124,BMW 7 Series 2007-2012 740Li,Pune,2008,66000,Petrol,Automatic,Second,8.45 kmpl,2979 CC,321 bhp,5,,10.75
1597,Audi Q7 4.2 FSI quattro,Delhi,2008,71000,Petrol,Automatic,First,8.3 kmpl,4134 CC,250 bhp,7,,11.99
5219,BMW 3 Series 330d Convertible,Mumbai,2013,49000,Diesel,Automatic,First,8.2 kmpl,2993 CC,245 bhp,4,,29
5869,BMW 3 Series 330d Convertible,Kochi,2014,51240,Diesel,Automatic,First,8.2 kmpl,2993 CC,245 bhp,4,,29.52
4723,Mercedes-Benz SL-Class SL 500,Kolkata,2010,35000,Petrol,Automatic,First,8.1 kmpl,5461 CC,387.3 bhp,2,,29.5
2979,Porsche Panamera 2010 2013 4S,Coimbatore,2010,42400,Petrol,Automatic,Third,8.0 kmpl,4806 CC,394.3 bhp,4,,42.91
4628,BMW 6 Series 650i Coupe,Kochi,2010,65329,Petrol,Automatic,First,7.94 kmpl,4395 CC,450 bhp,4,,20.72
4822,BMW 6 Series 630i Coupe,Mumbai,2011,5900,Petrol,Automatic,First,7.94 kmpl,4395 CC,450 bhp,4,,47.5
153,Mercedes-Benz S Class 2005 2013 S 500,Kolkata,2010,35277,Petrol,Automatic,First,7.81 kmpl,5461 CC,362.9 bhp,5,,30
5604,Porsche Panamera 2010 2013 Diesel,Delhi,2013,36400,Diesel,Automatic,First,7.5 kmpl,4806 CC,394.3 bhp,4,,72
5782,Lamborghini Gallardo Coupe,Delhi,2011,6500,Petrol,Automatic,Third,6.4 kmpl,5204 CC,560 bhp,2,,120
1333,Maruti Wagon R CNG LXI,Pune,2013,79494,CNG,Manual,First,33.54 km/kg,998 CC,67.04 bhp,5,5.54 Lakh,2.96
2060,Maruti Wagon R CNG LXI,Mumbai,2013,54000,CNG,Manual,First,33.54 km/kg,998 CC,67.04 bhp,5,5.58 Lakh,3.05
2372,Maruti Wagon R CNG LXI,Pune,2014,29202,CNG,Manual,First,33.54 km/kg,998 CC,67.04 bhp,5,5.54 Lakh,3.9
3130,Maruti Wagon R CNG LXI,Delhi,2014,74663,CNG,Manual,First,33.54 km/kg,998 CC,67.04 bhp,5,5.35 Lakh,3.25
4142,Maruti Wagon R CNG LXI,Mumbai,2014,47200,CNG,Manual,First,33.54 km/kg,998 CC,67.04 bhp,5,5.58 Lakh,2.85
1270,Maruti Alto 800 2016-2019 CNG LXI,Mumbai,2018,10600,CNG,Manual,First,33.44 km/kg,796 CC,40.3 bhp,4,,3.5
3554,Maruti Alto 800 2016-2019 CNG LXI,Pune,2015,18000,CNG,Manual,First,33.44 km/kg,796 CC,40.3 bhp,4,,3
3870,Maruti Alto 800 2016-2019 CNG LXI,Delhi,2012,65537,CNG,Manual,Second,33.44 km/kg,796 CC,40.3 bhp,4,,2.1
4770,Maruti Alto 800 2016-2019 CNG LXI,Kochi,2017,24310,CNG,Manual,First,33.44 km/kg,796 CC,40.3 bhp,4,,3.7
3120,Maruti Alto K10 LXI CNG Optional,Kochi,2018,44202,CNG,Manual,First,32.26 km/kg,998 CC,58.2 bhp,4,4.66 Lakh,4
5936,Maruti Alto K10 LXI CNG,Pune,2015,59525,CNG,Manual,Second,32.26 km/kg,998 CC,58.2 bhp,4,,3.1
2702,Maruti Celerio CNG VXI MT,Kochi,2016,70536,CNG,Manual,First,31.79 km/kg,998 CC,58.33 bhp,5,5.87 Lakh,4.58
5179,Maruti Celerio CNG VXI MT,Delhi,2015,64687,CNG,Manual,First,31.79 km/kg,998 CC,58.33 bhp,5,5.87 Lakh,3.8
5711,Maruti Alto 800 CNG LXI,Mumbai,2013,26200,CNG,Manual,First,30.46 km/kg,796 CC,47.3 bhp,5,,2.15
18,Maruti Swift DDiS VDI,Jaipur,2017,25000,Diesel,Manual,First,28.4 kmpl,1248 CC,74 bhp,5,,5.99
54,Maruti Swift VDI,Delhi,2013,65650,Diesel,Manual,First,28.4 kmpl,1248 CC,74 bhp,5,,3.85
276,Maruti Swift VDI,Hyderabad,2018,31025,Diesel,Manual,First,28.4 kmpl,1248 CC,74 bhp,5,,7.15
880,Maruti Swift DDiS ZDI Plus,Hyderabad,2018,5456,Diesel,Manual,First,28.4 kmpl,1248 CC,74 bhp,5,,8.65
893,Maruti Swift ZDI,Delhi,2012,52000,Diesel,Manual,First,28.4 kmpl,1248 CC,74 bhp,5,,3.55
1248,Maruti Swift VDI,Kochi,2017,34613,Diesel,Manual,First,28.4 kmpl,1248 CC,74 bhp,5,7.92 Lakh,6.24
1302,Maruti Swift LDI,Mumbai,2015,14000,Diesel,Manual,First,28.4 kmpl,1248 CC,74 bhp,5,7.13 Lakh,5.25
1520,Maruti Dzire AMT ZDI Plus,Hyderabad,2017,28226,Diesel,Automatic,First,28.4 kmpl,1248 CC,73.75 bhp,5,11.52 Lakh,9.15
1757,Maruti Swift DDiS VDI,Pune,2008,150000,Diesel,Manual,Second,28.4 kmpl,1248 CC,74 bhp,5,,2.7
1795,Maruti Dzire AMT ZDI Plus,Pune,2017,41747,Diesel,Automatic,First,28.4 kmpl,1248 CC,73.75 bhp,5,11.26 Lakh,9
1845,Maruti Swift DDiS ZDI Plus,Hyderabad,2017,2000,Diesel,Manual,First,28.4 kmpl,1248 CC,74 bhp,5,,8.2
